cycles,value,time
400,52.1809,9.6673
400,53.9823,8.9844
400,53.4388,9.956
400,53.8234,8.2665
400,52.2329,9.5927
400,51.1683,8.2322
400,53.1469,8.7573
400,50.3323,8.7445
400,57.8239,9.5866
400,51.4066,8.9509
400,52.6596,8.9139
400,51.8464,9.3484
400,48.0892,7.6917
400,53.7938,8.7642
400,51.6532,8.3752
400,54.5622,9.4988
400,50.5858,8.2151
400,52.8882,9.0663
400,52.6736,8.2976
400,53.3707,8.4872
400,51.9458,9.1931
400,52.5202,9.3679
400,52.8749,9.9347
400,50.3566,8.2203
400,52.3242,10.2363
400,53.3984,8.0724
400,53.3816,8.6111
400,52.8732,10.1209
400,51.0131,9.3615
400,54.1516,8.5578
400,55.5854,8.2795
400,52.4675,8.3186
400,52.8311,8.3386
400,49.6534,9.1414
400,52.7521,10.5651
400,55.925,7.777
400,55.2613,10.0008
400,52.7322,9.0319
400,50.3048,8.5356
400,52.5752,8.8236
400,52.6992,8.3258
400,52.4471,7.9835
400,53.4747,8.8216
400,53.8233,9.2162
400,52.5214,9.757
400,52.9818,9.7977
400,53.3983,9.8978
400,53.378,9.9218
400,55.6677,8.0764
400,54.6482,9.5047
400,53.2743,10.2929
400,53.2247,8.3209
400,53.2749,9.6534
400,53.6539,8.689
400,52.571,8.203
400,54.258,9.4782
400,52.3591,8.8431
400,50.9794,9.4698
400,54.2431,8.5968
400,56.0126,7.9073
400,51.8707,8.8779
400,52.5311,7.8691
400,53.0657,8.5974
400,53.6497,10.3032
400,50.877,10.0773
400,53.114,9.2006
400,53.0741,9.2359
400,52.433,8.5939
400,53.0566,9.0854
400,54.7465,9.3781
400,51.9253,8.2925
400,52.9883,8.2199
400,49.6896,8.8345
400,58.5125,8.943
400,52.5191,7.5764
400,51.6092,8.8218
400,51.8331,9.9532
400,53.7761,7.7949
400,53.9782,8.5217
400,53.125,8.448
400,52.2381,8.317
400,51.9535,7.9977
400,54.8708,9.6155
400,51.0752,8.5682
400,52.7418,9.1036
400,53.0943,10.409
400,51.5427,9.5203
400,53.2945,9.8565
400,53.0593,8.821
400,53.3988,7.9454
400,52.0178,9.1936
400,51.1899,8.0655
400,52.1553,9.9031
400,52.3222,9.719
400,53.1961,9.9694
400,52.5188,9.0701
400,53.3222,7.4793
400,51.9619,10.1696
400,52.6015,8.2783
400,54.7124,9.44
400,51.7927,8.6748
400,51.2231,8.5716
400,52.4296,8.8047
400,51.8621,8.4483
400,53.9957,8.2657
400,51.4311,9.3701
400,54.8937,8.5475
400,52.5344,9.1375
400,54.6026,8.9549
400,52.0385,7.9139
400,50.6434,8.3381
400,51.9736,9.2446
400,53.4656,10.2979
400,51.299,10.2557
400,49.7115,8.7486
400,48.6988,7.8217
400,52.3919,9.4506
400,54.5078,8.1435
400,54.3199,8.2248
400,54.5177,8.8885
400,53.027,10.0137
400,52.5737,9.7019
400,49.7262,9.2063
400,53.6668,7.969
400,51.2205,8.8768
400,52.673,9.7652
400,50.89,8.8632
400,51.3399,8.8037
400,52.9306,9.2936
400,52.6429,9.4152
400,56.9714,8.2415
400,52.1841,9.4433
400,54.1536,9.4648
400,53.6351,8.3831
400,51.9018,7.8687
400,54.5595,9.2109
400,54.1906,8.8277
400,50.1661,8.2123
400,54.4854,9.6274
400,53.0056,8.2293
400,54.5382,9.2729
400,53.4816,9.6907
400,53.2928,8.9842
400,52.3298,9.1374
400,52.8619,10.0453
400,50.604,9.0754
400,53.7852,9.6119
400,50.7892,8.28
400,53.7183,9.6974
400,53.0071,10.0031
400,51.74,9.7193
400,49.9698,9.1629
400,53.9911,9.1641
400,54.1475,8.6094
400,53.7596,8.5591
400,55.9805,8.4534
400,55.3962,8.2965
400,53.7281,7.321
400,54.1038,10.146
400,53.8879,8.4354
400,55.2198,8.8555
400,52.3489,8.222
400,51.8658,9.0505
400,52.1581,9.0578
400,55.695,7.3769
400,52.6164,9.2255
400,52.4846,10.06
400,52.0976,9.0677
400,53.8904,8.9103
400,49.9531,8.0115
400,53.5012,9.9941
400,55.5873,9.2184
400,50.0212,9.7122
400,52.4176,8.7181
400,52.8439,9.6304
400,55.3342,8.5538
400,51.381,9.9033
400,51.6933,9.5018
400,51.5528,8.8085
400,53.0308,9.1774
400,51.1532,9.087
400,55.2993,8.3966
400,54.2227,8.663
400,52.7235,9.1552
400,51.0181,9.8863
400,53.5927,8.6347
400,51.4665,8.3309
400,52.2165,8.5834
400,52.7892,7.4214
400,55.4082,10.2594
400,51.3518,8.8806
400,53.529,8.0302
400,54.0432,9.4664
400,49.0466,10.4675
400,54.1809,8.2548
400,52.0727,9.3729
400,53.1149,9.4504
400,54.5218,9.8857
400,52.1508,8.5137
400,52.4501,8.6425
400,53.9177,9.0172
400,53.4615,8.5725
